2.88	4.89	3.00	3.03	3.64	4.26	3.69	2.48	2.83	3.81	3.70	3.09	3.06	0.74	6.41	3.77	3.60	3.73	4.53	2.64
2.75	5.44	2.73	3.07	3.72	4.68	3.90	2.68	2.76	4.10	4.06	2.39	2.33	0.66	6.70	5.14	4.15	4.56	5.32	2.37
2.67	4.66	2.57	3.26	3.40	4.12	3.22	2.55	2.95	3.70	3.44	2.75	2.73	0.59	5.23	4.17	3.74	4.06	4.50	2.37
3.23	4.78	3.00	3.29	3.29	4.18	3.55	2.85	3.41	3.24	3.45	2.24	2.44	0.61	5.69	4.52	3.94	4.65	4.69	2.28
2.69	4.55	2.21	2.93	3.31	3.84	3.21	2.27	2.85	3.46	3.24	2.38	2.15	0.79	5.19	5.01	3.80	3.95	4.45	1.73
3.33	4.63	3.19	3.72	3.95	4.31	3.65	3.04	3.44	4.08	3.29	2.90	2.89	0.49	4.54	4.01	4.42	4.00	4.57	2.21
3.07	4.78	2.64	3.38	3.86	4.27	3.58	2.75	3.01	4.09	3.39	2.32	2.46	0.29	5.39	4.58	3.73	4.22	4.71	2.55
2.51	4.84	2.44	3.16	3.47	4.23	3.00	2.70	3.04	3.47	3.60	2.21	2.49	0.48	5.61	5.76	3.92	4.05	4.69	2.19
2.58	3.96	2.37	3.04	3.34	3.56	3.26	2.49	2.82	3.63	2.49	2.29	2.49	0.88	4.01	3.48	3.58	3.53	3.91	2.17
3.16	4.57	2.82	3.05	3.27	4.08	3.17	2.57	2.65	3.53	3.36	2.30	2.08	1.25	5.80	5.99	3.41	4.20	4.47	1.65
2.51	3.73	1.84	2.73	3.50	3.19	2.99	2.04	2.23	3.90	3.50	2.68	2.63	0.93	4.73	4.48	2.90	4.26	3.47	2.09
2.61	4.23	2.43	3.02	2.76	3.66	2.36	2.85	3.16	3.08	3.33	2.09	2.04	0.95	5.14	4.89	3.53	4.17	4.14	1.82
2.28	3.95	2.22	2.67	2.60	3.35	2.46	2.84	3.26	2.99	3.29	1.91	1.84	0.80	4.91	4.70	3.20	3.86	3.87	1.42
2.59	3.18	2.11	3.26	3.49	4.29	2.97	3.70	3.68	3.07	2.70	2.29	2.32	4.28	2.11	1.23	3.17	0.98	3.72	1.88
1.74	3.98	1.68	2.91	2.84	3.43	2.59	2.99	2.78	3.11	1.63	2.67	2.88	5.09	2.79	0.93	3.63	0.85	4.86	2.62
2.42	3.50	2.34	3.44	3.51	4.16	2.93	4.00	3.89	3.67	2.17	2.28	1.99	4.33	2.19	1.38	3.35	1.38	4.21	1.81
2.83	3.90	2.66	3.32	3.26	3.93	3.04	3.74	3.43	3.30	1.57	2.20	2.26	4.49	2.44	0.93	3.75	1.48	4.81	1.93
2.75	3.53	2.62	3.62	3.91	2.62	3.35	3.31	3.68	3.62	2.09	2.65	2.58	4.36	2.34	0.81	3.35	0.85	3.89	2.49
3.10	2.59	2.79	2.71	3.34	2.32	3.13	2.92	3.04	3.48	3.18	2.78	2.74	0.96	3.05	1.98	2.23	3.63	2.34	2.27
3.13	3.12	2.93	4.14	4.75	3.00	4.89	3.55	3.79	4.99	3.20	2.43	2.38	2.87	3.69	1.55	1.54	3.91	1.62	2.22
3.10	5.01	2.97	3.16	3.35	4.81	2.97	2.39	2.84	3.47	3.52	2.46	2.40	1.13	4.55	1.79	4.23	4.81	5.06	2.02
3.31	3.86	2.61	3.25	4.41	3.77	4.06	3.41	3.58	4.04	3.41	2.41	2.16	1.29	4.48	1.94	2.07	4.20	2.11	2.21
3.08	3.36	2.76	3.15	4.02	3.24	4.12	2.95	2.99	3.70	3.34	2.30	2.46	1.47	3.94	1.20	1.75	3.25	1.84	2.01
3.34	3.56	3.18	3.10	3.96	3.46	3.76	2.96	3.72	4.21	3.47	1.74	2.04	1.40	4.39	1.91	2.17	4.06	2.25	1.77
3.19	4.11	2.82	2.44	3.02	3.99	3.21	2.97	3.31	3.16	3.62	2.32	2.57	0.84	4.64	1.55	3.18	3.48	3.22	2.37
3.32	3.32	2.81	3.49	4.24	3.15	4.32	3.61	3.89	4.50	3.14	2.07	2.05	2.81	3.55	1.42	1.81	3.38	1.87	1.63
3.82	3.13	3.08	4.33	4.13	2.89	3.83	3.37	3.73	4.16	2.92	2.73	2.60	2.80	3.49	2.19	2.58	3.90	3.12	2.34
2.25	1.50	0.98	1.67	1.83	0.71	1.41	0.47	2.15	0.77	1.60	2.20	2.23	0.30	0.43	0.72	1.20	0.47	0.77	1.33
3.20	1.02	1.38	2.95	2.90	0.48	2.08	1.55	3.11	1.36	1.89	2.51	2.47	1.26	0.96	1.50	0.89	1.40	1.56	1.92
2.56	1.83	1.01	2.36	2.51	1.73	1.73	1.81	2.85	1.39	1.49	2.27	2.26	1.93	1.40	0.91	1.75	0.98	1.41	1.65
4.95	4.16	2.89	3.68	4.73	2.95	3.03	3.40	4.83	3.11	3.88	4.31	4.27	1.34	3.16	2.10	3.76	0.91	2.22	2.56
2.66	3.28	1.65	2.13	2.82	2.52	1.87	2.05	2.80	1.67	2.67	3.26	3.28	3.37	3.62	1.11	3.47	1.21	0.78	2.16
2.71	2.55	1.33	1.97	2.31	1.78	1.89	1.91	2.49	1.54	2.31	3.09	3.07	3.26	2.93	0.24	2.85	0.73	1.10	1.90
2.64	1.64	0.89	2.51	2.43	0.95	1.74	1.70	2.59	1.57	2.01	3.08	3.02	2.95	2.14	0.72	2.26	1.28	1.03	1.62
5.43	3.74	4.59	4.15	5.77	0.28	4.89	4.96	5.55	3.53	4.25	4.01	4.18	1.55	1.18	3.30	3.15	4.19	1.18	4.82
5.42	3.56	3.67	4.26	5.25	2.24	4.69	4.04	5.06	2.74	4.56	4.54	4.81	0.75	0.98	0.94	2.41	3.72	0.80	4.28
5.36	2.08	3.57	1.93	4.81	2.97	4.22	4.38	5.29	2.67	3.89	4.28	4.29	1.59	0.56	2.51	3.25	3.37	2.13	4.20
3.19	2.83	4.19	1.02	3.19	1.42	4.28	2.99	3.67	2.58	3.67	3.34	2.32	1.59	1.14	1.88	3.25	3.97	2.15	4.26
2.91	2.83	4.17	2.08	3.04	2.10	3.32	3.59	2.97	2.38	3.68	2.22	1.85	1.29	1.80	1.56	3.23	3.62	2.54	2.33
1.19	1.98	3.90	4.15	1.66	2.10	2.20	3.77	4.97	2.96	3.87	2.09	3.05	1.87	2.07	1.58	2.53	4.17	2.09	2.80
1.45	2.65	3.68	4.58	2.71	2.43	4.09	4.67	4.86	2.71	3.98	4.74	5.17	1.80	3.35	1.13	3.36	3.97	2.67	4.26
1.84	2.06	2.29	3.61	2.44	1.77	3.46	3.58	4.29	2.87	2.29	3.81	4.28	1.45	0.93	1.54	2.23	1.88	1.53	3.93
2.19	2.18	0.98	4.01	3.46	2.24	3.67	3.49	4.05	3.66	2.39	3.64	3.91	1.41	0.99	1.02	2.04	2.15	1.38	3.00
1.96	1.79	2.63	3.96	3.18	2.23	2.90	4.02	4.32	4.22	2.62	4.75	4.73	1.90	1.23	1.85	2.08	1.88	1.55	3.53
1.65	2.18	2.35	3.55	3.03	1.93	2.67	3.85	3.94	3.59	2.12	4.17	4.55	0.97	0.68	0.33	1.71	2.02	1.13	3.60
2.11	2.54	2.13	3.69	4.35	1.43	4.20	2.81	3.77	4.42	1.79	3.84	4.15	1.21	1.03	1.07	2.47	1.39	1.32	4.05
2.81	2.16	1.93	3.64	4.37	1.23	3.96	3.33	3.91	4.35	2.29	3.24	3.70	1.08	1.55	1.25	2.33	2.33	1.63	3.02
3.24	2.45	3.01	4.28	4.39	2.00	4.06	3.24	4.14	4.18	1.99	3.28	3.71	1.24	1.31	0.22	2.54	2.13	1.86	2.63
3.13	3.62	2.44	3.72	4.35	2.66	3.79	3.77	4.25	4.07	2.39	3.01	2.72	0.93	3.39	1.54	3.25	2.59	2.10	2.56
3.00	2.42	2.19	4.63	4.09	1.83	3.76	2.79	3.79	3.94	2.27	3.59	3.83	0.79	1.42	0.31	2.45	2.39	2.17	3.45
2.42	4.90	2.15	3.78	4.20	3.63	3.66	3.64	3.78	4.07	2.19	3.48	3.53	2.27	6.78	2.68	2.30	1.00	5.73	3.54
2.69	5.01	2.61	2.90	3.34	5.86	3.62	1.74	2.12	3.27	2.11	3.01	3.06	3.33	5.06	1.45	3.99	1.13	6.61	2.84
3.83	5.81	3.27	3.03	4.37	5.05	3.95	3.25	3.55	4.24	3.94	2.86	2.91	0.96	7.19	1.29	3.03	4.35	1.00	2.22
2.70	5.63	2.33	3.21	3.62	4.79	3.09	2.12	2.63	3.64	2.94	2.55	2.59	1.14	7.80	3.37	3.74	3.42	5.74	2.01
3.01	7.17	2.99	3.91	4.14	6.05	3.28	3.47	3.56	4.03	4.04	1.93	2.01	1.07	8.60	4.03	4.96	4.25	7.37	1.68
3.14	5.61	2.80	4.89	4.16	4.55	4.68	3.43	4.38	4.59	3.66	2.68	2.71	0.77	6.51	1.49	3.53	3.98	4.18	1.84
2.54	5.06	2.29	3.34	2.99	4.06	3.31	2.85	3.34	3.25	3.55	2.59	2.18	1.52	6.55	3.83	4.08	3.49	5.19	2.10
2.61	6.14	2.52	3.52	3.73	5.50	3.75	3.11	3.50	3.84	3.17	2.50	2.36	0.76	7.99	4.39	4.08	3.33	6.32	2.38
3.01	7.52	2.83	3.86	4.17	6.82	4.11	3.67	3.64	4.19	3.21	2.20	2.23	0.68	9.24	5.95	4.76	3.46	7.71	1.91
3.48	6.31	3.51	4.14	4.03	5.79	4.21	2.74	3.51	4.36	3.25	2.94	3.04	1.05	7.10	3.23	3.76	3.65	4.47	2.80
3.79	8.80	3.65	3.58	4.36	8.75	4.22	2.63	3.14	4.55	3.92	3.23	3.29	0.95	9.56	6.62	5.60	4.23	9.18	2.77
1.75	3.92	2.15	2.51	2.81	2.12	2.26	2.90	2.89	2.69	3.05	2.54	2.50	1.61	4.84	5.13	3.08	0.85	3.80	2.14
2.17	4.27	2.55	3.06	3.20	2.72	3.33	3.16	3.40	3.59	3.37	2.43	2.66	1.62	5.41	6.43	3.23	1.92	4.24	1.74
2.73	6.49	2.86	4.19	4.56	5.76	4.22	3.23	3.82	4.57	3.61	2.56	2.87	0.97	9.24	7.57	4.21	2.46	6.71	2.51
2.48	4.19	2.41	3.13	3.04	2.95	2.89	2.91	2.93	3.47	2.99	2.22	2.29	1.62	5.54	6.19	3.37	2.89	4.26	1.73
2.66	4.59	2.47	3.06	2.84	3.21	3.03	3.14	3.21	3.02	2.97	1.99	1.93	1.55	5.83	6.36	3.50	2.26	4.51	1.60
3.03	4.77	3.05	2.93	3.19	3.79	3.82	2.81	2.91	3.32	3.23	3.09	2.87	0.79	5.55	3.44	3.98	3.60	4.65	2.00
3.23	5.30	3.14	2.99	3.47	4.68	3.22	2.37	2.75	3.63	3.87	2.95	3.04	0.49	6.81	4.26	3.48	4.74	4.91	2.51
3.18	5.33	3.06	3.40	3.89	4.73	3.68	2.83	2.88	4.10	4.30	2.97	2.93	0.48	6.50	4.34	4.04	4.01	5.26	2.88
2.38	4.44	2.17	3.10	3.33	3.78	3.18	2.40	2.78	3.39	3.92	2.73	2.61	1.19	5.42	4.27	3.59	4.42	4.30	2.38
3.31	4.22	3.28	3.06	3.30	3.77	3.30	2.39	2.77	3.41	3.35	2.34	2.62	0.66	4.27	3.99	3.89	4.12	4.16	2.00
2.93	4.40	2.99	3.37	3.14	3.72	3.37	2.66	3.11	3.75	3.65	2.41	2.28	0.96	5.24	4.78	3.60	4.29	4.30	1.73
2.70	4.04	2.66	2.92	3.10	3.67	3.31	2.49	2.73	3.52	3.00	2.72	2.30	0.99	4.14	4.20	3.77	4.10	4.01	2.30
3.62	2.64	3.14	3.91	4.44	2.12	4.47	2.70	3.16	4.63	2.20	2.20	2.48	0.49	1.87	1.46	2.19	2.58	2.47	1.83
3.63	4.59	3.36	3.23	3.74	4.27	3.61	2.66	2.89	3.88	2.94	2.55	2.53	0.46	4.46	3.86	4.42	3.88	4.52	1.95
1.332	1.362	0.301	1.417	1.151	1.314	1.192	1.294	1.6	1.089	1.674	1.186	1.176	0.738	1.481	1.498	1.147	1.237	0.721	1.552
1.224	1.556	0.503	1.544	1.191	1.321	1.621	1.297	1.453	1.101	1.903	1.943	1.544	0.868	1.972	1.884	1.134	1.488	1.037	1.793
